Judul,Penerbit,Link,Tanggal Published
Ã¢ÂÂ Muncul Nama-nama Calon Penerus Pemimpin Iran Ali Khamenei,Detik,https://news.detik.com/internasional/d-8379021/muncul-nama-nama-calon-penerus-pemimpin-iran-ali-khamenei,02 Maret 2026
Gambar Satelit Kediaman Ali Khamenei yang Hancur Diserang AS-Israel,Detik,https://www.detik.com/jabar/berita/d-8380068/gambar-satelit-kediaman-ali-khamenei-yang-hancur-diserang-as-israel,02 Maret 2026
Trump Ngaku Siapkan 3 Opsi Pengganti Ali Khamenei untuk Pimpin Iran,Detik,https://www.detik.com/jabar/berita/d-8379768/trump-ngaku-siapkan-3-opsi-pengganti-ali-khamenei-untuk-pimpin-iran,02 Maret 2026
Trump Umumkan Kematian Pemimpin Tertinggi Iran Ali Khamenei,Detik,https://news.detik.com/internasional/d-8377804/trump-umumkan-kematian-pemimpin-tertinggi-iran-ali-khamenei,01 Maret 2026
Media Iran Sebut Ali Khamenei Tewas: Telah Mencapai Syahid,Detik,https://www.detik.com/sumut/berita/d-8377933/media-iran-sebut-ali-khamenei-tewas-telah-mencapai-syahid,01 Maret 2026
Kematian Ali Khamenei Dikonfirmasi Media Iran: Telah Mencapai Syahid,Detik,https://www.detik.com/jatim/berita/d-8377928/kematian-ali-khamenei-dikonfirmasi-media-iran-telah-mencapai-syahid,01 Maret 2026
Media Iran Konfirmasi Kematian Ali Khamenei: Telah Mencapai Syahid,Detik,https://news.detik.com/internasional/d-8377909/media-iran-konfirmasi-kematian-ali-khamenei-telah-mencapai-syahid,01 Maret 2026
Video Trump Klaim Pemimpin Tertinggi Iran Ali Khamenei Tewas,Detik,https://20.detik.com/detikupdate/20260301-260301003/video-trump-klaim-pemimpin-tertinggi-iran-ali-khamenei-tewas,01 Maret 2026
Trump Klaim Pemimpin Tertinggi Iran Ali Khamenei Sudah Tewas,Detik,https://www.detik.com/sumut/berita/d-8377823/trump-klaim-pemimpin-tertinggi-iran-ali-khamenei-sudah-tewas,01 Maret 2026
Garda Revolusi Iran Siapkan Serangan Balasan Usai Ali Khamenei Tewas,Detik,https://www.detik.com/jateng/berita/d-8378180/garda-revolusi-iran-siapkan-serangan-balasan-usai-ali-khamenei-tewas,01 Maret 2026
Iran Benarkan Pemimpin Tertinggi Ali Khamenei Tewas Diserang AS-Israel,Detik,https://www.detik.com/jogja/berita/d-8378122/iran-benarkan-pemimpin-tertinggi-ali-khamenei-tewas-diserang-as-israel,01 Maret 2026
Media Iran Konfirmasi Kematian Ali Khamenei dalam Serangan Israel-AS,Detik,https://www.detik.com/hikmah/khazanah/d-8377961/media-iran-konfirmasi-kematian-ali-khamenei-dalam-serangan-israel-as,01 Maret 2026
"Umumkan Kematian Pemimpin Tertinggi Iran, Trump Sebut Ali Khamenei Penjahat",Detik,https://www.detik.com/bali/berita/d-8377864/umumkan-kematian-pemimpin-tertinggi-iran-trump-sebut-ali-khamenei-penjahat,01 Maret 2026
"30 Bom Dijatuhkan, Trump Sebut Pemimpin Iran Ali Khamenei Tewas",Detik,https://www.detik.com/jabar/berita/d-8377814/30-bom-dijatuhkan-trump-sebut-pemimpin-iran-ali-khamenei-tewas,01 Maret 2026
"Profil Ali Khamenei, Pemimpin Tertinggi Iran yang Tewas Diserang AS-Israel",Detik,https://www.detik.com/hikmah/khazanah/d-8378085/profil-ali-khamenei-pemimpin-tertinggi-iran-yang-tewas-diserang-as-israel,01 Maret 2026
Epic Fury' AS yang Telan Nyawa Pimpinan Tertinggi Iran Ali Khamenei,Detik,https://www.detik.com/jabar/berita/d-8378556/epic-fury-as-yang-telan-nyawa-pimpinan-tertinggi-iran-ali-khamenei,01 Maret 2026
Video Media Iran Konfirmasi Ali Khamenei Tewas dalam Serangan AS-Israel,Detik,https://20.detik.com/detikupdate/20260301-260301010/video-media-iran-konfirmasi-ali-khamenei-tewas-dalam-serangan-as-israel,01 Maret 2026
"Sosok Ayatollah Ali Khamenei, Pimpin Iran Usai Perang Berdarah dengan Irak",Detik,https://www.detik.com/jabar/berita/d-8377996/sosok-ayatollah-ali-khamenei-pimpin-iran-usai-perang-berdarah-dengan-irak,01 Maret 2026
Video Media Iran Konfirmasi Ali Khamenei Tewas dalam Serangan AS-Israel,Detik,https://20.detik.com/detikupdate/20260301-260301010/video-media-iran-konfirmasi-ali-khamenei-tewas-dalam-serangan-as-israel,01 Maret 2026
"Profil Ali Khamenei yang Tewas dalam Serangan Israel, Lulusan Sekolah Agama",Detik,https://www.detik.com/edu/detikpedia/d-8378113/profil-ali-khamenei-yang-tewas-dalam-serangan-israel-lulusan-sekolah-agama,01 Maret 2026
"Netanyahu Klaim Kematian Ali Khamenei Usai Serangan Udara, Menlu Iran Bantah",Detik,https://www.detik.com/sumut/berita/d-8377817/netanyahu-klaim-kematian-ali-khamenei-usai-serangan-udara-menlu-iran-bantah,01 Maret 2026
"PKB Berduka atas Tewasnya Ali Khamenei, Kecam Serangan Israel-AS ke Iran",Detik,https://news.detik.com/berita/d-8378721/pkb-berduka-atas-tewasnya-ali-khamenei-kecam-serangan-israel-as-ke-iran,01 Maret 2026
