Judul,Penerbit,Kategori,Link,Tanggal Published
"Hamas dan PIJ Buka Suara atas Wafatnya Ali Khamenei, Singgung Dukungan",Kompas,Global,https://internasional.kompas.com/read/2026/03/01/172757670/hamas-dan-pij-buka-suara-atas-wafatnya-ali-khamenei-singgung-dukungan,1 Maret 2026
Ayatollah Ali Khamenei: Pengalaman Buktikan Negosiasi dengan AS Bukan Langkah Cerdas,Kompas,Global,https://www.kompas.com/global/read/2025/02/07/165817370/ayatollah-ali-khamenei-pengalaman-buktikan-negosiasi-dengan-as-bukan,7 Februari 2025
"Kritik Keras Rezim Iran, Keponakan Pemimpin Tertinggi Ayatollah Ali Khamenei Ditangkap",Kompas,Global,https://www.kompas.com/global/read/2022/11/28/071600370/kritik-keras-rezim-iran-keponakan-pemimpin-tertinggi-ayatollah-ali,28 November 2022
"Terungkap, Peran Netanyahu Meyakinkan Trump untuk Serang Iran dan Tewaskan Ali Khamenei",Kompas,Global,https://internasional.kompas.com/read/2026/03/24/063051370/terungkap-peran-netanyahu-meyakinkan-trump-untuk-serang-iran-dan,24 Maret 2026
"Ali Khamenei Muncul Perdana sejak Gencatan Senjata Iran-Israel, Apa Isi Pidatonya?",Kompas,Tren,https://www.kompas.com/tren/read/2025/06/27/131500065/ali-khamenei-muncul-perdana-sejak-gencatan-senjata-iran-israel-apa-isi,27 Juni 2025
Prabowo Kirim Surat Duka Cita atas Kematian Ali Khamenei Lewat Menlu Sugiono,Kompas,News,https://nasional.kompas.com/read/2026/03/05/05203681/prabowo-kirim-surat-duka-cita-atas-kematian-ali-khamenei-lewat-menlu-sugiono,5 Maret 2026
Siapa Reza Pahlavi yang Gambarkan Kematian Ali Khamenei Jadi Akhir Pemerintahan Iran?,Kompas,Tren,https://www.kompas.com/tren/read/2026/03/02/133000565/siapa-reza-pahlavi-yang-gambarkan-kematian-ali-khamenei-jadi-akhir,2 Maret 2026
INFOGRAFIK: Foto yang Diklaim Jenazah Ali Khamenei di Reruntuhan Ini Konten AI,Kompas,Cek Fakta,https://www.kompas.com/cekfakta/read/2026/03/06/201900882/infografik--foto-yang-diklaim-jenazah-ali-khamenei-di-reruntuhan-ini,6 Maret 2026
Ali Khamenei: Dukungan Kartun Nabi Muhammad adalah Politik Pemerintah Perancis yang Kejam,Kompas,Global,https://www.kompas.com/global/read/2020/11/04/073204470/ali-khamenei-dukungan-kartun-nabi-muhammad-adalah-politik-pemerintah,4 November 2020
"Diungkap Trump, Ini Tujuan AS Ikut Serang Iran hingga Tewaskan Ali Khamenei",Kompas,Global,https://internasional.kompas.com/read/2026/03/01/124013470/diungkap-trump-ini-tujuan-as-ikut-serang-iran-hingga-tewaskan-ali,1 Maret 2026
"Profil Ayatollah Ali Khamenei, Pemimpin Tertinggi Iran yang Klaim Kemenangan atas Israel",Kompas,Tren,https://www.kompas.com/tren/read/2025/06/29/104500665/profil-ayatollah-ali-khamenei-pemimpin-tertinggi-iran-yang-klaim-kemenangan,29 Juni 2025
Iming-iming Netanyahu kepada Trump untuk Serang Iran dan Tewaskan Ali Khamenei,Kompas,Tren,https://www.kompas.com/tren/read/2026/03/24/073000665/iming-iming-netanyahu-kepada-trump-untuk-serang-iran-dan-tewaskan-ali,24 Maret 2026
Iran Bentuk Dewan Kepemimpinan Usai Ali Khamenei Tewas dalam Serangan AS-Israel,Kompas,News,https://nasional.kompas.com/read/2026/03/02/19313901/iran-bentuk-dewan-kepemimpinan-usai-ali-khamenei-tewas-dalam-serangan-as,2 Maret 2026
"Iran Umumkan Ali Khamenei Tewas, Reza Pahlavi Sebut Era Negara Islam Berakhir",Kompas,Global,https://internasional.kompas.com/read/2026/03/01/102002870/iran-umumkan-ali-khamenei-tewas-reza-pahlavi-sebut-era-negara-islam,1 Maret 2026
"Teka-teki Kabar Kematian Ayatollah Ali Khamenei, Klaim AS dan Bantahan Iran",Kompas,Global,https://internasional.kompas.com/read/2026/03/01/071500270/teka-teki-kabar-kematian-ayatollah-ali-khamenei-klaim-as-dan-bantahan,1 Maret 2026
"Ali Khamenei Tewas, Akankah Reza Pahlavi Kembali ke Iran Setelah 47 Tahun Pengasingan?",Kompas,Tren,https://www.kompas.com/tren/read/2026/03/01/123000265/ali-khamenei-tewas-akankah-reza-pahlavi-kembali-ke-iran-setelah-47-tahun,1 Maret 2026
"37 Tahun Berkuasa, Ali Khamenei Tewas, Akankah Sejarah Iran Berulang ke Era Sekuler?",Kompas,Global,https://internasional.kompas.com/read/2026/03/01/160000670/37-tahun-berkuasa-ali-khamenei-tewas-akankah-sejarah-iran-berulang-ke,1 Maret 2026
"Kursi Pemimpin Tertinggi Iran Kosong Usai Ali Khamenei Tewas, 4 Nama Ini Menguat",Kompas,Tren,https://www.kompas.com/tren/read/2026/03/01/142000565/kursi-pemimpin-tertinggi-iran-kosong-usai-ali-khamenei-tewas-4-nama-ini,1 Maret 2026
"Profil Ayatollah Ali Khamenei, Pemimpin Tertinggi Iran yang Tewas dalam Serangan AS-Israel",Kompas,Cahaya,https://cahaya.kompas.com/aktual/26C01134325990/profil-ayatollah-ali-khamenei-pemimpin-tertinggi-iran-yang-tewas-dalam-serangan,1 Maret 2026
"Foto Ini Diduga Momen Terakhir Ali Khamenei, 23 Menit Sebelum Serangan AS-Israel",Kompas,Global,https://www.kompas.com/global/read/2026/03/28/170317370/foto-ini-diduga-momen-terakhir-ali-khamenei-23-menit-sebelum-serangan-as,28 Maret 2026
Puan Sampaikan Duka Cita Tewasnya Ali Khamenei yang Gugur di Serangan Israel-AS,Kompas,News,https://nasional.kompas.com/read/2026/03/10/11063621/puan-sampaikan-duka-cita-tewasnya-ali-khamenei-yang-gugur-di-serangan-israel,10 Maret 2026
[KLARIFIKASI] Tidak Benar Ali Khamenei Hidup dan Muncul ke Publik 4 Maret 2026,Kompas,Cek Fakta,https://www.kompas.com/cekfakta/read/2026/03/09/111100682/-klarifikasi-tidak-benar-ali-khamenei-hidup-dan-muncul-ke-publik-4,9 Maret 2026
[KLARIFIKASI] Foto Barisan Orang di Depan Peti Ali Khamenei Ini Dibuat dengan AI,Kompas,Cek Fakta,https://www.kompas.com/cekfakta/read/2026/03/04/132600582/-klarifikasi-foto-barisan-orang-di-depan-peti-ali-khamenei-ini-dibuat,4 Maret 2026
"Pemimpin Tertinggi Iran Ali Khamenei Tewas, Reza Pahlavi Serukan Rakyat Turun ke Jalan",Kompas,Tren,https://www.kompas.com/tren/read/2026/03/01/100343865/pemimpin-tertinggi-iran-ali-khamenei-tewas-reza-pahlavi-serukan-rakyat,1 Maret 2026
"Respons Rakyat Iran atas Kematian Ali Khamenei: Ada yang Rayakan, Ada yang Berkabung",Kompas,Tren,https://www.kompas.com/tren/read/2026/03/01/161500565/respons-rakyat-iran-atas-kematian-ali-khamenei--ada-yang-rayakan-ada-yang,1 Maret 2026
Iran Bantah Tudingan Ali Khamenei Sembunyi di Bunker!,Kompas,Video,https://video.kompas.com/watch/1905444/iran-bantah-tudingan-ali-khamenei-sembunyi-di-bunker,26 Januari 2026
"Termasuk Ali Khamenei, Ini 10 Pejabat Senior Iran yang Tewas dalam Serangan AS-Israel",Kompas,Global,https://internasional.kompas.com/read/2026/03/02/065858170/termasuk-ali-khamenei-ini-10-pejabat-senior-iran-yang-tewas-dalam,2 Maret 2026
"Ayatollah Ali Khamenei: Iran dan Sekutu Tak Akan Mundur, Israel Tak Akan Bertahan Lama",Kompas,Global,https://www.kompas.com/global/read/2024/10/04/175618070/ayatollah-ali-khamenei-iran-dan-sekutu-tak-akan-mundur-israel-tak-akan,4 Oktober 2024
"MUI Berduka atas Gugurnya Ali Khamenei, Doakan Menjadi Penghuni Surga, Kecam Serangan Israel-AS",Kompas,Cahaya,https://cahaya.kompas.com/aktual/26C01144101990/mui-berduka-atas-gugurnya-ali-khamenei-doakan-menjadi-penghuni-surga-kecam,1 Maret 2026
Daftar Pejabat Tinggi Iran yang Tewas dalam Serangan AS-Israel: Dari Ali Khamenei hingga Ahmadinejad,Kompas,Tren,https://www.kompas.com/tren/read/2026/03/02/090000565/daftar-pejabat-tinggi-iran-yang-tewas-dalam-serangan-as-israel--dari-ali,2 Maret 2026
